,,,Before Mutation,,,,,After Mutation
Mutant Filename,Mutation Operator,Start Line#,Start Col#,End Line#,End Col#,Target Token,Start Line#,Start Col#,End Line#,End Col#,Mutated Token,Extra Info
BinaryGlobal.MUT117.c,VLSR,18,22,18,26,high,18,22,18,25,mid,,binary
BinaryGlobal.MUT118.c,VTWD,18,22,18,26,high,18,22,18,30,(high+1),plus,binary
BinaryGlobal.MUT119.c,VTWD,18,22,18,26,high,18,22,18,30,(high-1),minus,binary
BinaryGlobal.MUT120.c,OAAN,18,28,18,29,/,18,28,18,29,%,/%,binary
BinaryGlobal.MUT121.c,OAAN,18,28,18,29,/,18,28,18,29,*,/*,binary
BinaryGlobal.MUT122.c,OAAN,18,28,18,29,/,18,28,18,29,+,/+,binary
BinaryGlobal.MUT123.c,OAAN,18,28,18,29,/,18,28,18,29,-,/-,binary
BinaryGlobal.MUT124.c,CGCR,18,30,18,31,2,18,30,18,31,5,,binary
BinaryGlobal.MUT125.c,CLCR,18,30,18,31,2,18,30,18,31,0,,binary
BinaryGlobal.MUT126.c,CLCR,18,30,18,31,2,18,30,18,31,1,,binary
BinaryGlobal.MUT127.c,CGSR,19,13,19,16,key,19,13,19,14,5,,binary
BinaryGlobal.MUT128.c,CLSR,19,13,19,16,key,19,13,19,14,0,,binary
BinaryGlobal.MUT129.c,CLSR,19,13,19,16,key,19,13,19,14,1,,binary
BinaryGlobal.MUT130.c,CLSR,19,13,19,16,key,19,13,19,14,2,,binary
BinaryGlobal.MUT131.c,CRCR,19,13,19,16,key,19,13,19,17,(-1),-1,binary
BinaryGlobal.MUT132.c,CRCR,19,13,19,16,key,19,13,19,16,(0),0,binary
BinaryGlobal.MUT133.c,CRCR,19,13,19,16,key,19,13,19,16,(1),1,binary
BinaryGlobal.MUT134.c,CRCR,19,13,19,16,key,19,13,19,18,(127),max,binary
BinaryGlobal.MUT135.c,CRCR,19,13,19,16,key,19,13,19,19,(-128),min,binary
BinaryGlobal.MUT136.c,VGSR,19,13,19,16,key,19,13,19,18,count,,binary
BinaryGlobal.MUT137.c,VLSR,19,13,19,16,key,19,13,19,16,low,,binary
BinaryGlobal.MUT138.c,VLSR,19,13,19,16,key,19,13,19,17,high,,binary
BinaryGlobal.MUT139.c,VLSR,19,13,19,16,key,19,13,19,16,mid,,binary
BinaryGlobal.MUT140.c,VTWD,19,13,19,16,key,19,13,19,20,(key+1),plus,binary
BinaryGlobal.MUT141.c,VTWD,19,13,19,16,key,19,13,19,20,(key-1),minus,binary
BinaryGlobal.MUT142.c,ORRN,19,17,19,18,<,19,17,19,19,!=,<!=,binary
BinaryGlobal.MUT143.c,ORRN,19,17,19,18,<,19,17,19,19,<=,<<=,binary
BinaryGlobal.MUT144.c,ORRN,19,17,19,18,<,19,17,19,19,==,<==,binary
BinaryGlobal.MUT145.c,ORRN,19,17,19,18,<,19,17,19,18,>,<>,binary
BinaryGlobal.MUT146.c,ORRN,19,17,19,18,<,19,17,19,19,>=,<>=,binary
BinaryGlobal.MUT147.c,CRCR,19,19,19,28,item[mid],19,19,19,23,(-1),-1,binary
BinaryGlobal.MUT148.c,CRCR,19,19,19,28,item[mid],19,19,19,22,(0),0,binary
BinaryGlobal.MUT149.c,CRCR,19,19,19,28,item[mid],19,19,19,22,(1),1,binary
BinaryGlobal.MUT150.c,CRCR,19,19,19,28,item[mid],19,19,19,24,(127),max,binary
BinaryGlobal.MUT151.c,CRCR,19,19,19,28,item[mid],19,19,19,25,(-128),min,binary
BinaryGlobal.MUT152.c,VGSR,19,19,19,28,item[mid],19,19,19,24,count,,binary
BinaryGlobal.MUT153.c,VLSR,19,19,19,28,item[mid],19,19,19,22,key,,binary
BinaryGlobal.MUT154.c,VLSR,19,19,19,28,item[mid],19,19,19,22,low,,binary
BinaryGlobal.MUT155.c,VLSR,19,19,19,28,item[mid],19,19,19,23,high,,binary
BinaryGlobal.MUT156.c,VLSR,19,19,19,28,item[mid],19,19,19,22,mid,,binary
BinaryGlobal.MUT157.c,VTWD,19,19,19,28,item[mid],19,19,19,29,(item[mid]+1),plus,binary
BinaryGlobal.MUT158.c,VTWD,19,19,19,28,item[mid],19,19,19,29,(item[mid]-1),minus,binary
BinaryGlobal.MUT159.c,CGSR,19,24,19,27,mid,19,24,19,25,5,,binary
BinaryGlobal.MUT160.c,CLSR,19,24,19,27,mid,19,24,19,25,0,,binary
BinaryGlobal.MUT161.c,CLSR,19,24,19,27,mid,19,24,19,25,1,,binary
BinaryGlobal.MUT162.c,CLSR,19,24,19,27,mid,19,24,19,25,2,,binary
BinaryGlobal.MUT163.c,CRCR,19,24,19,27,mid,19,24,19,28,(-1),-1,binary
BinaryGlobal.MUT164.c,CRCR,19,24,19,27,mid,19,24,19,27,(0),0,binary
BinaryGlobal.MUT165.c,CRCR,19,24,19,27,mid,19,24,19,27,(1),1,binary
BinaryGlobal.MUT166.c,CRCR,19,24,19,27,mid,19,24,19,29,(2147483647),max,binary
BinaryGlobal.MUT167.c,CRCR,19,24,19,27,mid,19,24,19,29,(-2147483648),min,binary
BinaryGlobal.MUT168.c,VGSR,19,24,19,27,mid,19,24,19,29,count,,binary
BinaryGlobal.MUT169.c,VLSR,19,24,19,27,mid,19,24,19,27,key,,binary
